id,conversation_id,replies_count,retweets_count,likes_count,date,retweets_reply_ratio
1457770813046751200,1457770813046751200,4,22,74,2021-11-08,5.5
1457749830747541500,1457694211525038e3,2,11,60,2021-11-08,5.5
1457736189616742400,1457694211525038e3,4,29,119,2021-11-08,7.25
1457727976154484700,1457727695337443300,14,13,60,2021-11-08,0.9285714285714286
1457727698650943500,1457727695337443300,15,29,116,2021-11-08,1.9333333333333333
1457727695337443300,1457727695337443300,55,101,269,2021-11-08,1.8363636363636364
1457725355981217800,1457687819795804200,2,21,77,2021-11-08,10.5
1457720980269318100,1457687819795804200,6,28,89,2021-11-08,4.666666666666667
1457715427841355800,1457694211525038e3,3,21,101,2021-11-08,7
1457706245335494700,1457687819795804200,8,29,102,2021-11-08,3.625
1457706059255124e3,1457694211525038e3,3,36,171,2021-11-08,12
1457694211525038e3,1457694211525038e3,18,179,542,2021-11-08,9.944444444444445
1457687819795804200,1457687819795804200,27,142,440,2021-11-08,5.2592592592592595
1457419225623113700,1457419225623113700,109,79,204,2021-11-07,0.7247706422018348
1457363203625824300,1457266544614981600,20,77,201,2021-11-07,3.85
1457332866958889e3,1457266544614981600,52,119,349,2021-11-07,2.2884615384615383
1457301976153219e3,1457266544614981600,34,111,327,2021-11-07,3.264705882352941
1457266544614981600,1457266544614981600,147,369,884,2021-11-07,2.510204081632653
1457052058515804200,1457052058515804200,31,113,329,2021-11-06,3.6451612903225805
1457032344049787e3,1457032344049787e3,22,58,185,2021-11-06,2.6363636363636362
1457020834288111600,1456907364347654100,14,61,170,2021-11-06,4.357142857142857
1456984582612467700,1456907364347654100,8,72,197,2021-11-06,9
1456970410612899800,1456907364347654100,10,69,211,2021-11-06,6.9
1456956737379082200,1456907364347654100,16,107,259,2021-11-06,6.6875
1456941243603292200,1456907364347654100,14,64,135,2021-11-06,4.571428571428571
1456916600670523400,1456907364347654100,9,80,139,2021-11-06,8.88888888888889
1456907364347654100,1456907364347654100,633,182,547,2021-11-06,0.28751974723538704
1456607275473375200,1455923812445393e3,5,25,78,2021-11-05,5
1456577455746166800,1456577455746166800,58,178,384,2021-11-05,3.0689655172413794
1456547059578904600,1456547059578904600,39,256,455,2021-11-05,6.564102564102564
1456531570991505400,1456200206479937500,17,96,232,2021-11-05,5.647058823529412
1456334648246669300,1456200206479937500,24,84,219,2021-11-04,3.5
1456316448335401e3,1456200206479937500,18,53,120,2021-11-04,2.9444444444444446
1456298821953196e3,1456284292506480600,15,30,89,2021-11-04,2
1456291903008383e3,1456284292506480600,9,26,86,2021-11-04,2.888888888888889
1456291362148659200,1456284292506480600,8,19,60,2021-11-04,2.375
1456291305340944400,1456284292506480600,6,16,39,2021-11-04,2.6666666666666665
1456291016982605800,1456284292506480600,8,22,53,2021-11-04,2.75
1456290864897183700,1456284292506480600,1,20,41,2021-11-04,20
1456290724551463e3,1456284292506480600,6,17,35,2021-11-04,2.8333333333333335
1.4562906424103199e+18,1456284292506480600,9,12,34,2021-11-04,1.3333333333333333
1456290201391833e3,1456284292506480600,6,16,33,2021-11-04,2.6666666666666665
1456290147755036700,1456284292506480600,6,13,33,2021-11-04,2.1666666666666665
1456289898281963500,1456284292506480600,5,23,49,2021-11-04,4.6
145628912257067e4,1456284292506480600,4,23,59,2021-11-04,5.75
